make_model,body_type,km,gear_type,fuel_type,price
Toyota Auris,Compact,69099.0,Automatic,Gasoline,15950.0
Honda Jazz,Compact,80054.0,Manuel,Gasoline,8950.0
Volkswagen Tiguan,Off-Road/Pick-up,127555.0,Semi-automatic,Diesel,10900.0
Opel Mokka,Off-Road/Pick-up,105562.0,,,12495.0
Volkswagen up!,Compact,46628.0,Semi-automatic,Gasoline,11895.0
Toyota C-HR,Off-Road/Pick-up,,Automatic,Electric/Gasoline,21395.0
Honda Jazz,Compact,44820.0,Automatic,Gasoline,16300.0
Toyota Corolla,Station wagon,9074.0,,Electric/Gasoline,26735.0
Toyota Corolla,Station wagon,45727.0,Manuel,Electric/Gasoline,22945.0
Opel Astra,Convertible,97670.0,Manuel,Gasoline,7000.0
Volkswagen T5 Transporter,Transporter,158154.0,Automatic,Diesel,19890.0
Toyota Proace,Transporter,85057.0,Manuel,Diesel,15945.0
Volkswagen Golf Variant,Station wagon,141820.0,Automatic,Gasoline,9666.0
Opel Meriva,Van,79460.0,Manuel,Gasoline,6950.0
Opel Crossland X,Van,6000.0,Automatic,Gasoline,30945.0
Volkswagen Tiguan,Off-Road/Pick-up,109980.0,Automatic,Gasoline,17950.0
Volkswagen Passat,Station wagon,131507.0,Automatic,Gasoline,9800.0
Volkswagen Scirocco,Coupe,174698.0,Manuel,,11950.0
Honda Jazz,Compact,80979.0,Manuel,Electric/Gasoline,9500.0
Opel Mokka,Off-Road/Pick-up,102163.0,Manuel,Gasoline,10995.0
Honda Jazz,Compact,171500.0,Semi-automatic,Gasoline,5500.0
Opel Corsa,Compact,134044.0,Manuel,Diesel,7850.0
Toyota Auris,Compact,105510.0,Automatic,Electric/Gasoline,9450.0
Toyota Yaris,Compact,24202.0,Automatic,,16999.0
Opel Corsa,Compact,133558.0,Manuel,Gasoline,4450.0
Volkswagen ID.4,Off-Road/Pick-up,,Automatic,Electric,49157.0
Toyota Yaris,Compact,80052.0,Automatic,Electric/Gasoline,9250.0
Opel Mokka X,Van,47000.0,Manuel,Gasoline,17950.0
Honda HR-V,,1.0,Manuel,,31900.0
Toyota Yaris,Van,117980.0,Manuel,Electric/Gasoline,9750.0
Volkswagen Passat Variant,Station wagon,,Automatic,Electric/Gasoline,21449.0
Opel Ampera,Compact,101044.0,Automatic,Electric/Gasoline,13936.0
Volkswagen Touran,Van,82269.0,,Gasoline,22950.0
Volkswagen Golf Variant,Station wagon,175312.0,Automatic,Gasoline,10999.0
Toyota Hilux,Off-Road/Pick-up,220260.0,Semi-automatic,Diesel,14750.0
Volkswagen Golf,Compact,81614.0,Automatic,Gasoline,10950.0
Toyota Auris,Station wagon,91103.0,Manuel,Electric/Gasoline,14995.0
Tesla Model S,Compact,83534.0,Automatic,Electric,49035.0
Opel Meriva,,89070.0,Manuel,Gasoline,7450.0
Opel Insignia,Station wagon,132030.0,Automatic,Gasoline,12900.0
Volkswagen Golf Variant,Station wagon,159728.0,Manuel,Gasoline,6999.0
Volkswagen Scirocco,Coupe,105878.0,Manuel,Gasoline,11750.0
Volkswagen Touareg,Off-Road/Pick-up,188223.0,Manuel,,19950.0
Volkswagen Amarok,Off-Road/Pick-up,110332.0,Semi-automatic,Diesel,27770.0
Honda CR-V,Off-Road/Pick-up,14.0,Manuel,Gasoline,49545.0
Volkswagen Beetle,Convertible,107026.0,Manuel,Gasoline,19500.0
Toyota C-HR,Off-Road/Pick-up,,Manuel,Gasoline,15995.0
