make_model,body_type,km,gear_type,fuel_type,price
Volkswagen Golf,Compact,155711.0,Automatic,Diesel,12950.0
Opel Agila,Compact,87397.0,Automatic,Gasoline,7749.0
Opel Insignia,Station wagon,7.0,Automatic,Gasoline,58558.0
Honda Jazz,Van,66884.0,Manuel,Gasoline,7950.0
Volkswagen Caddy,Van,20976.0,,,25950.0
Volkswagen ID.4,Off-Road/Pick-up,1.0,Automatic,Electric,41487.0
Toyota Verso-S,Van,138816.0,Automatic,Gasoline,9245.0
Volkswagen Passat Variant,Sedans,150649.0,Automatic,Electric/Gasoline,20945.0
Volkswagen Caddy,Other,44276.0,Manuel,Gasoline,17900.0
Volkswagen ID.4,Off-Road/Pick-up,10.0,Automatic,Electric,60640.0
Volkswagen Eos,Convertible,79478.0,Manuel,Gasoline,22950.0
Volkswagen Golf GTE,Convertible,117250.0,Automatic,Electric/Gasoline,
Volkswagen Polo,Compact,34663.0,Manuel,Gasoline,15400.0
Volkswagen Golf,Compact,,Automatic,Electric,19745.0
Opel Meriva,Van,109234.0,,Gasoline,6945.0
Opel Grandland X,Off-Road/Pick-up,19040.0,Automatic,Gasoline,26400.0
Opel Agila,Compact,16562.0,Automatic,Gasoline,8950.0
Toyota Yaris,Sedans,134015.0,Manuel,Electric/Gasoline,8299.0
Volkswagen Golf,Compact,205000.0,Semi-automatic,Gasoline,4700.0
Volkswagen Polo,,37361.0,Automatic,Gasoline,8950.0
Toyota Auris,Other,134069.0,Manuel,Gasoline,12449.0
Toyota Corolla,Station wagon,50867.0,Automatic,Electric/Gasoline,22395.0
Volkswagen Polo,Compact,109544.0,,Gasoline,10500.0
Toyota RAV 4,Off-Road/Pick-up,124128.0,Manuel,Electric/Gasoline,23950.0
Volkswagen Golf,Convertible,204321.0,Manuel,Gasoline,11750.0
Volkswagen Golf,Station wagon,236500.0,Automatic,Gasoline,7995.0
Opel Astra,Station wagon,6844.0,Manuel,Gasoline,13200.0
Opel Meriva,Van,60836.0,Automatic,Gasoline,15750.0
Opel Astra,Compact,64753.0,Automatic,Gasoline,15450.0
Opel Vivaro,Transporter,93879.0,Semi-automatic,Diesel,13440.0
Volkswagen Tiguan,Off-Road/Pick-up,96078.0,Semi-automatic,Gasoline,14950.0
Volkswagen Touran,Van,10731.0,Automatic,Gasoline,29745.0
Volkswagen T-Cross,Off-Road/Pick-up,1084.0,Manuel,Gasoline,28900.0
Honda Accord,Sedans,120826.0,Manuel,Gasoline,11650.0
Opel Vivaro,Transporter,117648.0,Semi-automatic,Diesel,12950.0
Volkswagen Golf Sportsvan,Van,11286.0,Manuel,Gasoline,16950.0
Toyota C-HR,Off-Road/Pick-up,43519.0,Manuel,Electric/Gasoline,22949.0
Opel Corsa,Compact,,Manuel,,5995.0
Toyota Auris,Station wagon,,Manuel,Electric/Gasoline,15950.0
Volkswagen Caddy,Van,141620.0,Manuel,Gasoline,14950.0
Honda Jazz,Compact,,Automatic,Gasoline,15900.0
Opel Astra,Compact,17440.0,Automatic,Gasoline,17450.0
Volkswagen Golf,Station wagon,132000.0,Manuel,Gasoline,7950.0
Toyota Proace,Transporter,97347.0,Manuel,Diesel,15645.0
Volkswagen Caddy,Compact,156741.0,Automatic,Electric,8450.0
Volkswagen Passat Variant,Station wagon,102217.0,Manuel,,18740.0
Opel Astra,Station wagon,,Manuel,Gasoline,5750.0
Volkswagen Golf Plus,Station wagon,136000.0,Manuel,Gasoline,8500.0
Opel Astra,Station wagon,94044.0,Semi-automatic,Gasoline,13450.0
Opel Astra,Station wagon,48804.0,Automatic,,20900.0
Toyota Auris,Station wagon,84984.0,Manuel,Electric/Gasoline,15225.0
Opel Grandland X,Off-Road/Pick-up,24258.0,Automatic,Gasoline,26950.0
Opel Crossland X,Off-Road/Pick-up,56.0,Manuel,Diesel,32500.0
Toyota Corolla,Station wagon,16262.0,Manuel,Electric/Gasoline,24950.0
Opel Corsa,Compact,29622.0,Manuel,Gasoline,8451.0
Volkswagen Polo,Compact,164572.0,Semi-automatic,,7450.0
Opel Combo,Transporter,180607.0,Semi-automatic,Diesel,6990.0
Volkswagen Golf Variant,Station wagon,88923.0,Manuel,Gasoline,9950.0
Volkswagen Tiguan,Off-Road/Pick-up,47928.0,Automatic,Gasoline,26890.0
Volkswagen Beetle,Convertible,33953.0,,Gasoline,17990.0
Volkswagen Golf,Station wagon,145236.0,Manuel,Gasoline,11950.0
Honda HR-V,Off-Road/Pick-up,40306.0,Manuel,Gasoline,21950.0
Toyota Proace,Transporter,103566.0,Manuel,Diesel,9400.0
Toyota RAV 4,Off-Road/Pick-up,259600.0,,Diesel,12500.0
Opel Grandland X,Off-Road/Pick-up,6919.0,Manuel,Electric/Gasoline,37900.0
Volkswagen T-Cross,Off-Road/Pick-up,30663.0,Automatic,Gasoline,25485.0
Opel Mokka,Off-Road/Pick-up,64494.0,Manuel,Gasoline,13950.0
Opel Corsa,Compact,26.0,Automatic,Electric,36545.0
Volkswagen Golf Variant,Station wagon,284675.0,,Diesel,4450.0
Toyota Proace,Transporter,,Manuel,Electric,46900.0
Opel Astra,Compact,175702.0,,Diesel,6950.0
Opel Corsa,Compact,96296.0,Semi-automatic,Gasoline,5650.0
Toyota C-HR,Off-Road/Pick-up,36127.0,,Electric/Gasoline,
Tesla Model 3,Compact,49987.0,Automatic,Electric,53095.0
Opel Agila,Compact,73692.0,Semi-automatic,Gasoline,5150.0
Volkswagen Golf,Station wagon,195450.0,Manuel,Diesel,9750.0
Volkswagen Crafter,Transporter,,Semi-automatic,Diesel,8950.0
Tesla Model S,Compact,,Automatic,Electric,55659.0
Toyota Aygo,,78445.0,Manuel,Gasoline,3695.0
Opel Grandland X,Off-Road/Pick-up,29622.0,Semi-automatic,Gasoline,27980.0
Volkswagen Golf,Compact,40696.0,Automatic,Electric,23950.0
Opel Agila,Compact,40033.0,Semi-automatic,Gasoline,5895.0
Honda CR-V,Off-Road/Pick-up,4.0,Manuel,Electric/Gasoline,
Volkswagen T6 Transporter,Transporter,97335.0,Automatic,Diesel,29950.0
Honda CR-V,Off-Road/Pick-up,1.0,Manuel,Electric/Gasoline,47695.0
Opel Corsa,Van,152000.0,Manuel,Gasoline,6250.0
Opel Astra,Coupe,92922.0,,Gasoline,14400.0
Volkswagen T6 Transporter,,,,Diesel,18950.0
Opel Astra,Station wagon,62757.0,Manuel,Gasoline,11950.0
Opel Astra,Van,,Manuel,Gasoline,6000.0
Toyota C-HR,Off-Road/Pick-up,,Automatic,Electric/Gasoline,20495.0
Volkswagen Golf Variant,Station wagon,130930.0,Manuel,Gasoline,12250.0
Toyota Yaris,Compact,13576.0,Automatic,Gasoline,16950.0
Volkswagen Tiguan,Off-Road/Pick-up,,Manuel,Gasoline,10795.0
Volkswagen Golf Cabriolet,Other,94925.0,Manuel,Gasoline,20500.0
Opel Astra,Station wagon,120200.0,Manuel,Gasoline,8000.0
Volkswagen Golf,Compact,160141.0,,Diesel,14950.0
Honda Jazz,Van,100713.0,Automatic,Electric/Gasoline,9995.0
Honda Jazz,Van,99990.0,Manuel,Gasoline,6750.0
Toyota Yaris,Compact,135033.0,Automatic,,9945.0
Volkswagen up!,Compact,128778.0,Manuel,Gasoline,5725.0
Volkswagen Golf,Compact,175481.0,Automatic,Gasoline,6390.0
Volkswagen T-Cross,Off-Road/Pick-up,16495.0,Semi-automatic,Gasoline,23400.0
Toyota Proace,Transporter,5.0,Manuel,,45595.0
Toyota Auris,Station wagon,215280.0,Manuel,,9900.0
Volkswagen Polo,,183721.0,Manuel,Diesel,4999.0
Toyota Auris,Station wagon,41926.0,Manuel,Electric/Gasoline,18900.0
Volkswagen Passat,Sedans,157000.0,Automatic,Gasoline,17450.0
Toyota Yaris,Compact,180343.0,Manuel,Gasoline,4450.0
Tesla Model S,Compact,44963.0,Automatic,Electric,67499.0
Volkswagen Golf Sportsvan,Van,51929.0,Automatic,Gasoline,15945.0
Opel Mokka X,Off-Road/Pick-up,15098.0,Automatic,Gasoline,20950.0
Toyota Auris,Station wagon,80301.0,Manuel,Electric/Gasoline,15900.0
Volkswagen Tiguan,Off-Road/Pick-up,130991.0,Semi-automatic,Gasoline,23750.0
Volkswagen Tiguan,Off-Road/Pick-up,,Manuel,Gasoline,
Volkswagen Passat Variant,Station wagon,281345.0,Manuel,Diesel,4700.0
Volkswagen Passat,Station wagon,184000.0,Manuel,Diesel,15300.0
Opel Crossland X,Off-Road/Pick-up,73682.0,Semi-automatic,Gasoline,
Volkswagen Golf Sportsvan,Van,166043.0,Manuel,Gasoline,11450.0
Opel Combo,Transporter,107369.0,Semi-automatic,Diesel,6450.0
Volkswagen Golf Variant,Station wagon,91949.0,Semi-automatic,Gasoline,13750.0
Toyota Auris,Compact,,Automatic,Electric/Gasoline,8900.0
Toyota Verso,Van,130017.0,Manuel,Gasoline,8950.0
Toyota C-HR,Off-Road/Pick-up,128337.0,Manuel,Electric/Gasoline,17885.0
Opel Crossland,Off-Road/Pick-up,2000.0,Manuel,Gasoline,29900.0
Volkswagen Golf Variant,Station wagon,198729.0,Manuel,Gasoline,6290.0
Toyota RAV 4,Off-Road/Pick-up,136738.0,Manuel,Gasoline,13950.0
Toyota Yaris,Compact,203698.0,Automatic,Electric/Gasoline,8950.0
Volkswagen Golf,Station wagon,201990.0,Automatic,Gasoline,6750.0
Opel Insignia,Compact,5971.0,Manuel,Gasoline,
Volkswagen T5 Transporter,Transporter,312761.0,Automatic,Diesel,9750.0
Opel Insignia,Compact,15000.0,Semi-automatic,Gasoline,42950.0
Toyota Aygo,Compact,,Manuel,Gasoline,3850.0
Volkswagen Tiguan,Off-Road/Pick-up,81990.0,Automatic,Gasoline,26950.0
Opel Astra,Compact,12599.0,Automatic,Gasoline,20900.0
Opel Corsa,Compact,1.0,Automatic,Electric,29595.0
Opel Mokka X,Compact,39083.0,Automatic,Gasoline,21995.0
Volkswagen T-Cross,Off-Road/Pick-up,10811.0,Automatic,Gasoline,26950.0
Volkswagen Caddy,Other,61331.0,Semi-automatic,Gasoline,15950.0
Opel Astra,Station wagon,172492.0,Manuel,Gasoline,6750.0
Volkswagen Golf Variant,Station wagon,186715.0,Manuel,Gasoline,8445.0
Opel Crossland X,Off-Road/Pick-up,60058.0,Automatic,Gasoline,18245.0
Opel Astra,Station wagon,98985.0,Manuel,Gasoline,11700.0
Opel Corsa,Compact,10.0,Automatic,Electric,32816.0
Volkswagen Golf,Compact,141185.0,Automatic,Gasoline,8900.0
Toyota Prius+,Van,138075.0,Automatic,Electric/Gasoline,15900.0
Toyota Aygo,Compact,43410.0,Manuel,,9950.0
Volkswagen Touran,Station wagon,145500.0,Manuel,Gasoline,10250.0
Volkswagen Golf GTE,Compact,112037.0,Manuel,Electric/Gasoline,16450.0
Toyota Aygo,Compact,63068.0,Automatic,Gasoline,9945.0
Toyota Auris,Compact,87322.0,Automatic,Electric/Gasoline,8745.0
Volkswagen Passat Variant,Station wagon,100225.0,Automatic,Gasoline,14850.0
Volkswagen Golf GTE,Compact,169882.0,Manuel,Electric/Gasoline,12347.0
Opel Astra,Compact,109194.0,Manuel,Gasoline,12900.0
Volkswagen Passat Variant,Station wagon,5000.0,Automatic,Diesel,44900.0
Toyota Prius+,Van,140399.0,Automatic,Electric/Gasoline,18940.0
Toyota C-HR,Off-Road/Pick-up,51789.0,Automatic,Electric/Gasoline,21295.0
Toyota Aygo,Compact,110057.0,Automatic,Gasoline,5999.0
Opel Corsa,Compact,98632.0,Manuel,Diesel,8950.0
Volkswagen Touareg,Off-Road/Pick-up,12478.0,Automatic,Electric/Gasoline,92500.0
Opel Mokka X,Off-Road/Pick-up,67532.0,Manuel,Gasoline,15450.0
Volkswagen Golf,Station wagon,42690.0,Manuel,,17500.0
Volkswagen Golf Variant,Station wagon,87207.0,Manuel,Diesel,18400.0
Volkswagen up!,Compact,1012.0,,Electric,22900.0
Volkswagen Caddy,Transporter,166133.0,Semi-automatic,Diesel,9600.0
Toyota Corolla,Station wagon,,Manuel,Electric/Gasoline,23900.0
Volkswagen Passat,Sedans,185000.0,Manuel,Gasoline,8250.0
Opel Mokka,Off-Road/Pick-up,,Manuel,Gasoline,14900.0
Opel Corsa,Compact,90151.0,Semi-automatic,Gasoline,4999.0
Volkswagen T-Cross,,10964.0,Semi-automatic,Gasoline,22950.0
Volkswagen Golf,Station wagon,209450.0,Manuel,,9540.0
Opel Agila,Compact,116726.0,Automatic,Gasoline,8950.0
Opel Astra,Station wagon,132946.0,Manuel,Gasoline,10900.0
Toyota C-HR,Off-Road/Pick-up,45004.0,Semi-automatic,Gasoline,19945.0
Volkswagen Golf Sportsvan,Transporter,17338.0,Automatic,Gasoline,20980.0
Volkswagen Polo,Compact,,Automatic,Gasoline,11750.0
Volkswagen Tiguan,Off-Road/Pick-up,78369.0,Manuel,Gasoline,13999.0
Volkswagen T5 Transporter,Off-Road/Pick-up,190180.0,Semi-automatic,Diesel,13950.0
Volkswagen Caddy,Transporter,63277.0,Automatic,Diesel,22945.0
Opel Insignia,Station wagon,7500.0,Manuel,Diesel,40445.0
Opel Astra,Compact,108162.0,Automatic,Gasoline,12250.0
Volkswagen Golf Sportsvan,Van,105700.0,Automatic,Gasoline,16950.0
Volkswagen Polo,Compact,230201.0,Manuel,Diesel,4900.0
Volkswagen Tiguan,Off-Road/Pick-up,52262.0,Automatic,Gasoline,26950.0
Opel Corsa,Compact,44825.0,,Gasoline,6250.0
Toyota RAV 4,Off-Road/Pick-up,134925.0,Semi-automatic,Gasoline,23445.0
Opel Grandland X,Off-Road/Pick-up,25.0,Automatic,Electric/Gasoline,42995.0
Toyota Auris,Compact,132246.0,Automatic,Electric/Gasoline,10945.0
Opel Corsa,Compact,6000.0,,Electric,29900.0
Volkswagen Golf,Compact,15381.0,Semi-automatic,,40950.0
Toyota Aygo,Compact,,Manuel,Gasoline,3999.0
Opel Mokka,Off-Road/Pick-up,82143.0,Manuel,Gasoline,15450.0
Honda Jazz,Compact,61785.0,Manuel,Gasoline,17750.0
Opel Corsa,Compact,168950.0,Manuel,Diesel,3300.0
Volkswagen Golf,Station wagon,181000.0,Automatic,Gasoline,10950.0
Opel Mokka,Off-Road/Pick-up,98904.0,Manuel,Gasoline,15900.0
Toyota Auris,Compact,131189.0,Automatic,Electric/Gasoline,10899.0
Toyota Verso,,53094.0,Automatic,Gasoline,20900.0
Toyota Aygo,Compact,143025.0,Manuel,Gasoline,3500.0
Volkswagen Golf Sportsvan,Van,,Manuel,Gasoline,14450.0
Toyota Auris,Station wagon,97659.0,Semi-automatic,Electric/Gasoline,14950.0
Honda Jazz,Van,56369.0,Manuel,Electric/Gasoline,8950.0
Volkswagen Caddy,Transporter,212550.0,Manuel,Diesel,
Volkswagen Passat Variant,Station wagon,156969.0,Automatic,,19218.0
Volkswagen Golf,Compact,46335.0,Automatic,Electric,22900.0
Toyota C-HR,Off-Road/Pick-up,50428.0,Manuel,Electric/Gasoline,21930.0
Volkswagen Passat Variant,Station wagon,141294.0,Manuel,Diesel,18499.0
Toyota Verso-S,Van,33542.0,Automatic,Gasoline,14250.0
Volkswagen Polo,Other,273000.0,Semi-automatic,Gasoline,3999.0
Toyota RAV 4,Off-Road/Pick-up,53917.0,Automatic,Electric/Gasoline,25950.0
Volkswagen Tiguan,Off-Road/Pick-up,246112.0,Manuel,Gasoline,8950.0
Opel Mokka,Off-Road/Pick-up,80184.0,,Gasoline,
Tesla Model 3,Compact,51058.0,Automatic,Electric,41950.0
Toyota C-HR,Off-Road/Pick-up,8888.0,Automatic,Electric/Gasoline,32999.0
Toyota Supra,Coupe,20000.0,Manuel,Gasoline,50925.0
Honda CR-V,Off-Road/Pick-up,1.0,Manuel,Electric/Gasoline,44900.0
Volkswagen Polo,Compact,,Semi-automatic,Gasoline,11900.0
Volkswagen Passat Variant,Station wagon,151116.0,Automatic,Diesel,16945.0
Volkswagen T-Roc,Other,9435.0,Automatic,Gasoline,31990.0
Toyota Verso-S,Van,96270.0,Manuel,,11890.0
Toyota Auris,Station wagon,124747.0,Manuel,Electric/Gasoline,15999.0
Volkswagen Polo,Compact,34558.0,Automatic,Gasoline,9950.0
Tesla Model X,Off-Road/Pick-up,60533.0,Automatic,Electric,63750.0
Toyota Verso,Van,85006.0,Manuel,Gasoline,12950.0
Volkswagen Tiguan,Off-Road/Pick-up,,Semi-automatic,Gasoline,23950.0
Opel Crossland X,Off-Road/Pick-up,99989.0,Manuel,Gasoline,13999.0
Volkswagen Tiguan,Off-Road/Pick-up,53430.0,Semi-automatic,Gasoline,22499.0
Volkswagen Tiguan,Off-Road/Pick-up,114623.0,Automatic,Gasoline,23501.0
Volkswagen Golf GTE,Compact,21.0,Manuel,Electric/Gasoline,42170.0
Opel Corsa,Compact,177008.0,Manuel,,3499.0
Volkswagen Golf,Station wagon,123706.0,Automatic,Diesel,14499.0
Toyota Prius,Van,136166.0,Automatic,Electric/Gasoline,18750.0
Volkswagen Passat CC,Sedans,121032.0,Automatic,,19900.0
Toyota Proace,Transporter,114762.0,Manuel,Diesel,23400.0
Opel Crossland X,Off-Road/Pick-up,,Automatic,Gasoline,19900.0
Toyota Proace,Transporter,71838.0,Manuel,Diesel,12900.0
Volkswagen Golf,Compact,3021.0,Manuel,Gasoline,27450.0
Honda CR-V,Off-Road/Pick-up,45770.0,Automatic,Electric/Gasoline,35950.0
Opel Corsa,Compact,10.0,Automatic,Electric,30183.0
Opel Vivaro,Transporter,151979.0,Semi-automatic,,12900.0
Toyota Yaris,Compact,186550.0,Manuel,Gasoline,3900.0
Volkswagen ID.4,Off-Road/Pick-up,10.0,Automatic,Electric,48585.0
Volkswagen Golf Variant,Station wagon,132543.0,Manuel,Diesel,9950.0
Volkswagen Polo,Compact,142000.0,Semi-automatic,Diesel,7000.0
Opel Combo,Transporter,101476.0,Semi-automatic,Diesel,7945.0
Opel Corsa,Compact,193291.0,Manuel,Diesel,3388.0
Volkswagen Sharan,Van,181000.0,Manuel,Gasoline,14499.0
Volkswagen Passat Variant,Station wagon,212966.0,Automatic,Gasoline,7750.0
Toyota Mirai,Sedans,10.0,,Other,80935.0
Volkswagen Polo,Compact,126200.0,Manuel,,6750.0
Toyota Aygo,Compact,137907.0,,Gasoline,3750.0
Opel Corsa,Van,,Manuel,Gasoline,4500.0
Volkswagen Passat,Sedans,131508.0,Automatic,Gasoline,12000.0
Opel Mokka X,Off-Road/Pick-up,,Automatic,Gasoline,22645.0
Volkswagen Tiguan,Off-Road/Pick-up,74951.0,Automatic,Gasoline,26945.0
Opel Mokka X,Off-Road/Pick-up,34122.0,Semi-automatic,Gasoline,16950.0
Opel Corsa,Compact,5912.0,Automatic,Electric,33650.0
Volkswagen Golf,Convertible,113052.0,Manuel,Gasoline,14950.0
Toyota Land Cruiser,Off-Road/Pick-up,250.0,Automatic,Diesel,44295.0
Honda Civic,Station wagon,7558.0,Semi-automatic,Gasoline,21950.0
Toyota C-HR,,53432.0,Manuel,Gasoline,16945.0
Volkswagen Polo,Compact,198000.0,Manuel,Diesel,5750.0
Opel Astra,Station wagon,66214.0,Manuel,Gasoline,10949.0
Toyota Auris,Station wagon,165161.0,Automatic,Electric/Gasoline,12890.0
Volkswagen Arteon,Compact,107588.0,Automatic,Diesel,34945.0
Toyota C-HR,Off-Road/Pick-up,32220.0,Automatic,Electric/Gasoline,20795.0
Volkswagen Touran,Van,73815.0,Automatic,Gasoline,19950.0
Opel Astra,Compact,,Manuel,Gasoline,4595.0
Volkswagen Polo,Compact,22000.0,Automatic,Diesel,18500.0
Honda Civic,Compact,90061.0,Manuel,Gasoline,13450.0
Volkswagen Tiguan,Station wagon,148252.0,Automatic,Gasoline,18950.0
Volkswagen up!,Compact,64414.0,Manuel,Gasoline,10945.0
Toyota Yaris,Compact,124145.0,Automatic,Electric/Gasoline,10700.0
Volkswagen Tiguan,Off-Road/Pick-up,94058.0,Semi-automatic,Diesel,24400.0
Opel Zafira,Van,117174.0,Manuel,Diesel,6999.0
Tesla Model 3,Compact,18189.0,Automatic,Electric,49900.0
Opel Astra,Station wagon,134442.0,Semi-automatic,Gasoline,12950.0
Volkswagen Passat,Station wagon,181833.0,Manuel,Diesel,12900.0
Volkswagen Polo,Compact,135500.0,Automatic,Gasoline,
Opel Zafira Tourer,Van,162417.0,Semi-automatic,Gasoline,8750.0
Opel Astra,Station wagon,,,Gasoline,10999.0
Opel Vivaro,Other,153000.0,Semi-automatic,Gasoline,15000.0
Volkswagen Tiguan,Off-Road/Pick-up,21.0,Manuel,Electric/Gasoline,
Volkswagen Passat Variant,Station wagon,193917.0,Automatic,Gasoline,8500.0
Opel Astra,Compact,150400.0,Manuel,Diesel,9400.0
Toyota Yaris,Compact,127383.0,Automatic,Electric/Gasoline,9999.0
Volkswagen Golf GTE,,80068.0,Manuel,Electric/Gasoline,16950.0
Volkswagen Polo,Compact,219545.0,Semi-automatic,Gasoline,4950.0
Opel Corsa,Compact,39095.0,Semi-automatic,Gasoline,12950.0
Volkswagen Arteon,Other,33868.0,Automatic,Gasoline,37250.0
Toyota C-HR,Off-Road/Pick-up,,Semi-automatic,Gasoline,21900.0
Volkswagen Golf Cabriolet,Convertible,37960.0,Manuel,Gasoline,17995.0
Volkswagen Golf GTE,Compact,163575.0,Manuel,Electric/Gasoline,11440.0
Toyota Yaris,Compact,51426.0,Automatic,Gasoline,15450.0
Volkswagen Polo,Compact,47179.0,Automatic,Gasoline,10999.0
Opel Astra,Compact,53212.0,Automatic,,15650.0
Volkswagen Crafter,Van,297694.0,Manuel,Diesel,19850.0
Toyota Aygo,Compact,110000.0,Manuel,Gasoline,3499.0
Volkswagen Golf Variant,Station wagon,150703.0,Manuel,Gasoline,11400.0
Opel Corsa,Compact,148211.0,Manuel,Gasoline,4250.0
Toyota GT86,Coupe,92500.0,Manuel,Gasoline,21000.0
Opel Mokka,Off-Road/Pick-up,58186.0,Automatic,Gasoline,15900.0
Volkswagen Tiguan,Off-Road/Pick-up,33816.0,Manuel,Gasoline,26495.0
Toyota Hilux,Off-Road/Pick-up,10.0,Manuel,Diesel,26954.0
Toyota Yaris,Other,18.0,Manuel,Electric/Gasoline,22399.0
Opel Corsa,Compact,5950.0,Automatic,Electric,31332.0
Volkswagen Golf,Station wagon,100600.0,,Gasoline,9950.0
Toyota Prius+,Van,,Automatic,Electric/Gasoline,24394.0
Volkswagen Golf,Compact,65901.0,Automatic,Electric,20950.0
Toyota C-HR,Off-Road/Pick-up,34889.0,,Electric/Gasoline,20700.0
Toyota Auris,Compact,175398.0,Automatic,Electric/Gasoline,7295.0
Volkswagen Golf,Compact,271160.0,Manuel,Diesel,5950.0
Volkswagen Caddy,Transporter,341434.0,Manuel,Diesel,3500.0
Opel Meriva,Van,191557.0,Manuel,Gasoline,3945.0
Opel Astra,Van,133479.0,Manuel,Other,9900.0
Volkswagen Tiguan,Station wagon,202000.0,Manuel,Gasoline,8250.0
Toyota Verso-S,Van,,Automatic,Gasoline,10900.0
Volkswagen Golf,Station wagon,228000.0,Automatic,Gasoline,5999.0
Toyota Verso-S,Van,114136.0,Manuel,Gasoline,8950.0
Toyota Verso-S,Van,117466.0,Automatic,Gasoline,9450.0
Toyota Yaris,Compact,16700.0,Automatic,Gasoline,17950.0
Volkswagen Golf Sportsvan,Van,73362.0,Automatic,Gasoline,20450.0
Volkswagen Golf,Compact,3623.0,Manuel,Electric/Gasoline,36900.0
Volkswagen Golf Sportsvan,Van,237866.0,Manuel,Diesel,8950.0
Opel Corsa,Compact,125250.0,Semi-automatic,Other,6499.0
Volkswagen Passat Variant,Station wagon,229714.0,Semi-automatic,,6650.0
Volkswagen Touran,Van,48595.0,Manuel,Gasoline,13800.0
Volkswagen Tiguan,Off-Road/Pick-up,67300.0,Semi-automatic,Gasoline,17950.0
Opel Zafira,Van,28415.0,Manuel,Gasoline,22950.0
Toyota Yaris,Compact,90057.0,Automatic,Electric/Gasoline,10400.0
Volkswagen Tiguan,Off-Road/Pick-up,59119.0,Semi-automatic,Gasoline,16950.0
Volkswagen Tiguan,Station wagon,187356.0,Automatic,,9500.0
Volkswagen Polo,Compact,18500.0,Automatic,Gasoline,13500.0
Volkswagen Passat,Sedans,126196.0,Manuel,Gasoline,8445.0
Opel Corsa,Van,218000.0,Manuel,Diesel,2750.0
Volkswagen Golf Variant,Station wagon,119661.0,,Gasoline,18945.0
Toyota Yaris,Van,29000.0,Manuel,Gasoline,14495.0
Volkswagen ID.4,Off-Road/Pick-up,10.0,Automatic,Electric,48585.0
Volkswagen Tiguan,Off-Road/Pick-up,135159.0,Manuel,Gasoline,12795.0
Volkswagen ID.4,Off-Road/Pick-up,1.0,Automatic,Electric,49444.0
Opel Combo,Transporter,59110.0,Semi-automatic,Diesel,6840.0
Volkswagen Golf,Station wagon,120000.0,Manuel,Diesel,14500.0
Volkswagen Golf Variant,Station wagon,151690.0,Automatic,Diesel,19900.0
Volkswagen Golf GTE,Compact,117607.0,Manuel,Electric/Gasoline,19275.0
Volkswagen Golf,Compact,150.0,Manuel,,24850.0
Opel Ampera,Compact,,Automatic,Electric,23945.0
Opel Crossland X,Off-Road/Pick-up,58321.0,Semi-automatic,Gasoline,16950.0
Opel Astra,Compact,148850.0,Semi-automatic,Other,6995.0
Volkswagen Golf Variant,Station wagon,145987.0,Manuel,Diesel,12950.0
Volkswagen Caddy,Transporter,145035.0,Automatic,Diesel,10950.0
Toyota Hilux,Off-Road/Pick-up,10.0,Manuel,,41950.0
Volkswagen Golf GTE,Compact,101085.0,Manuel,Electric/Gasoline,14445.0
Opel Movano,Transporter,202143.0,Semi-automatic,Diesel,12950.0
Volkswagen Golf,Station wagon,,Automatic,Diesel,17500.0
Toyota Auris,Station wagon,139116.0,Automatic,Electric/Gasoline,10900.0
Volkswagen Golf,Compact,10.0,Manuel,Electric/Gasoline,43506.0
Toyota Prius+,Van,198147.0,Manuel,Electric/Gasoline,11950.0
Tesla Model X,,109726.0,,Electric,53500.0
Volkswagen T5 Transporter,Transporter,213179.0,Manuel,Diesel,7950.0
Volkswagen T6 Transporter,Transporter,163121.0,Automatic,Diesel,18950.0
Opel Ampera,Compact,58874.0,Automatic,Electric/Gasoline,14460.0
Toyota RAV 4,Van,74806.0,Semi-automatic,Diesel,15600.0
Volkswagen Golf,,170000.0,Manuel,Gasoline,8650.0
Volkswagen Polo,Compact,90003.0,Manuel,Gasoline,11995.0
Toyota Proace,Transporter,0.0,Manuel,Diesel,17995.0
Opel Vivaro,Transporter,1.0,Automatic,Electric,34995.0
Opel Astra,Station wagon,12053.0,Automatic,Gasoline,23900.0
Opel Corsa,Compact,,Manuel,Diesel,5250.0
Volkswagen Golf Plus,Van,101955.0,Manuel,Gasoline,9950.0
Volkswagen T-Cross,Off-Road/Pick-up,16128.0,,Gasoline,20950.0
Opel Grandland X,Off-Road/Pick-up,21172.0,Automatic,,25900.0
Volkswagen Tiguan,Off-Road/Pick-up,105340.0,Automatic,Gasoline,15990.0
Opel Mokka,Off-Road/Pick-up,61426.0,Manuel,Gasoline,15736.0
Opel Zafira,Van,59289.0,Automatic,Gasoline,21895.0
Volkswagen up!,Compact,86938.0,Semi-automatic,Other,7995.0
Opel Vivaro,Transporter,120791.0,Semi-automatic,Diesel,10900.0
Volkswagen Golf Variant,Station wagon,110869.0,Manuel,Gasoline,12900.0
Honda HR-V,,70618.0,Manuel,Gasoline,19950.0
Opel Astra,Station wagon,115884.0,Manuel,Gasoline,11950.0
Opel Astra,Compact,74495.0,Automatic,Gasoline,13051.0
Volkswagen Golf,Station wagon,185500.0,Manuel,Diesel,11500.0
Opel Astra,Station wagon,136367.0,Manuel,Gasoline,7950.0
Volkswagen Passat Variant,Station wagon,233696.0,Semi-automatic,Other,8500.0
Toyota Auris,Station wagon,171999.0,Automatic,Electric/Gasoline,9950.0
